ABSGID,ABSCID,ABSUID,ABSBID,ABSSID,ABSFID,ABSTID,ABSKID,ABSEID,ABSDID,DAYWPED,PEDSTEP8,WKNDFLAG,DAYORPED,MET10DY,METT1DY,PEDTIME,PEDOFFDY,PEDOFFDM,LEVEL9,ABSHID,ABSLFID
1,0,0,0,0,0,0,0,1,0,6,3186,1,1,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,2,0,7,2135,2,2,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,3,0,1,2742,2,3,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,4,0,2,5154,1,4,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,5,0,4,2848,1,5,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,6,0,5,5211,1,6,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,7,0,6,4145,1,7,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,8,0,7,4200,2,8,2,0,600,2,0,9,INP13B1002748,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002632,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1002557,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002557,0
1,0,0,0,0,0,0,0,1,0,6,984,1,1,2,0,9997,3,9997,9,INP13B1001845,0
1,0,0,0,0,0,0,0,2,0,7,1026,2,2,2,0,720,1,60,9,INP13B1001845,0
1,0,0,0,0,0,0,0,3,0,1,2300,2,3,2,0,655,1,20,9,INP13B1001845,0
1,0,0,0,0,0,0,0,4,0,2,4000,1,4,2,0,690,1,30,9,INP13B1001845,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001521,0
1,0,0,0,0,0,0,0,1,0,6,9189,1,1,2,0,780,1,60,9,INP13B1001881,0
1,0,0,0,0,0,0,0,2,0,7,9797,2,2,2,0,780,1,60,9,INP13B1001881,0
1,0,0,0,0,0,0,0,3,0,1,5312,2,3,2,0,720,1,60,9,INP13B1001881,0
1,0,0,0,0,0,0,0,4,0,2,9547,1,4,2,0,660,1,60,9,INP13B1001881,0
1,0,0,0,0,0,0,0,5,0,3,3341,1,5,2,0,780,1,60,9,INP13B1001881,0
1,0,0,0,0,0,0,0,6,0,4,8000,1,6,2,0,630,1,120,9,INP13B1001881,0
1,0,0,0,0,0,0,0,7,0,5,3791,1,7,2,0,720,1,60,9,INP13B1001881,0
1,0,0,0,0,0,0,0,8,0,6,4783,1,8,2,0,720,1,120,9,INP13B1001881,0
4,0,0,0,0,0,0,0,1,0,6,9000,1,1,0,2,660,1,60,9,INP13B1001881,0
4,0,0,0,0,0,0,0,2,0,7,17108,2,2,0,1,780,1,60,9,INP13B1001881,0
4,0,0,0,0,0,0,0,3,0,1,4361,2,3,0,2,720,1,60,9,INP13B1001881,0
4,0,0,0,0,0,0,0,4,0,2,12006,1,4,0,2,660,1,60,9,INP13B1001881,0
4,0,0,0,0,0,0,0,5,0,3,11140,1,5,0,2,600,1,120,9,INP13B1001881,0
4,0,0,0,0,0,0,0,6,0,4,4260,1,6,0,2,540,1,180,9,INP13B1001881,0
4,0,0,0,0,0,0,0,7,0,5,4168,1,7,0,2,660,1,120,9,INP13B1001881,0
4,0,0,0,0,0,0,0,8,0,6,4866,1,8,0,2,660,1,120,9,INP13B1001881,0
3,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001851,0
7,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001851,0
8,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002731,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001401,0
2,0,0,0,0,0,0,0,1,0,6,8123,1,1,2,0,785,2,0,9,INP13B1002757,0
2,0,0,0,0,0,0,0,2,0,7,7935,2,2,2,0,580,2,0,9,INP13B1002757,0
2,0,0,0,0,0,0,0,3,0,1,9562,2,3,2,0,640,2,0,9,INP13B1002757,0
2,0,0,0,0,0,0,0,4,0,2,8353,1,4,2,0,640,2,0,9,INP13B1002757,0
4,0,0,0,0,0,0,0,1,0,6,13188,1,1,0,1,625,2,0,9,INP13B1002757,0
4,0,0,0,0,0,0,0,2,0,7,6536,2,2,0,2,144,2,0,9,INP13B1002757,0
4,0,0,0,0,0,0,0,3,0,1,23161,2,3,0,1,568,2,0,9,INP13B1002757,0
4,0,0,0,0,0,0,0,4,0,2,11228,1,4,0,1,617,2,0,9,INP13B1002757,0
4,0,0,0,0,0,0,0,5,0,3,14295,1,5,0,1,685,2,0,9,INP13B1002757,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001034,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001138,0
5,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001138,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002433,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002433,0
5,0,0,0,0,0,0,0,1,0,7,8539,2,1,2,0,810,1,30,9,INP13B1002411,0
5,0,0,0,0,0,0,0,2,0,1,10144,2,2,1,0,780,1,30,9,INP13B1002411,0
5,0,0,0,0,0,0,0,3,0,2,13151,1,3,1,0,810,1,30,9,INP13B1002411,0
5,0,0,0,0,0,0,0,4,0,3,17382,1,4,1,0,930,1,30,9,INP13B1002411,0
5,0,0,0,0,0,0,0,5,0,4,22045,1,5,1,0,775,1,30,9,INP13B1002411,0
5,0,0,0,0,0,0,0,6,0,5,4478,1,6,2,0,875,1,30,9,INP13B1002411,0
5,0,0,0,0,0,0,0,7,0,6,27592,1,7,1,0,784,1,20,9,INP13B1002411,0
5,0,0,0,0,0,0,0,8,0,7,31022,2,8,1,0,1035,1,60,9,INP13B1002411,0
1,0,0,0,0,0,0,0,1,0,2,4625,1,1,2,0,510,1,270,9,INP13B1001021,0
1,0,0,0,0,0,0,0,2,0,3,3970,1,2,2,0,450,1,240,9,INP13B1001021,0
1,0,0,0,0,0,0,0,3,0,4,4483,1,3,2,0,510,1,270,9,INP13B1001021,0
1,0,0,0,0,0,0,0,4,0,5,5023,1,4,2,0,395,1,205,9,INP13B1001021,0
1,0,0,0,0,0,0,0,5,0,6,4691,1,5,2,0,510,1,270,9,INP13B1001021,0
1,0,0,0,0,0,0,0,6,0,7,2711,2,6,2,0,90,1,480,9,INP13B1001021,0
1,0,0,0,0,0,0,0,7,0,1,5295,2,7,2,0,690,2,0,9,INP13B1001021,0
1,0,0,0,0,0,0,0,8,0,2,4987,1,8,2,0,540,1,330,9,INP13B1001021,0
3,0,0,0,0,0,0,0,1,0,3,4720,1,1,0,2,420,2,0,9,INP13B1001021,0
3,0,0,0,0,0,0,0,2,0,4,8239,1,2,0,2,540,2,0,9,INP13B1001021,0
3,0,0,0,0,0,0,0,3,0,5,3288,1,3,0,2,230,1,240,9,INP13B1001021,0
3,0,0,0,0,0,0,0,4,0,6,8240,1,4,0,2,540,2,0,9,INP13B1001021,0
3,0,0,0,0,0,0,0,5,0,7,9340,2,5,0,2,650,2,0,9,INP13B1001021,0
3,0,0,0,0,0,0,0,6,0,1,2981,2,6,0,2,560,2,0,9,INP13B1001021,0
3,0,0,0,0,0,0,0,7,0,2,8320,1,7,0,2,540,2,0,9,INP13B1001021,0
3,0,0,0,0,0,0,0,8,0,3,5113,1,8,0,2,440,2,0,9,INP13B1001021,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001414,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001414,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001935,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001935,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001441,0
2,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1001441,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002437,0
5,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002437,0
6,0,0,0,0,0,0,0,1,0,3,27278,1,1,0,1,760,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,2,0,4,19043,1,2,0,1,750,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,3,0,5,14582,1,3,0,1,810,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,4,0,6,13882,1,4,0,1,810,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,5,0,7,30866,2,5,0,1,815,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,6,0,1,24276,2,6,0,1,810,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,7,0,2,28727,1,7,0,1,870,2,0,9,INP13B1000713,0
6,0,0,0,0,0,0,0,8,0,3,3184,1,8,0,2,870,2,0,9,INP13B1000713,0
5,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001941,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001593,0
4,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1001593,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000470,0
6,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000470,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002544,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000938,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000077,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000077,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001785,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001785,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1000774,0
1,0,0,0,0,0,0,0,1,0,7,4287,2,1,2,0,720,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,2,0,1,4623,2,2,2,0,645,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,3,0,2,9452,1,3,2,0,900,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,4,0,3,8246,1,4,2,0,910,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,5,0,4,5130,1,5,2,0,900,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,6,0,5,7137,1,6,2,0,675,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,7,0,6,5417,1,7,2,0,465,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,8,0,7,6417,2,8,2,0,525,1,15,9,INP13B1002893,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1002525,0
2,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1002525,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001995,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000571,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000571,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000711,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001752,0
3,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1001752,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002056,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002056,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1000335,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001623,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001623,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001967,0
8,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001967,0
1,0,0,0,0,0,0,0,1,0,7,16415,2,1,1,0,830,1,50,9,INP13B1000673,0
1,0,0,0,0,0,0,0,2,0,1,15930,2,2,1,0,850,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,3,0,2,9676,1,3,2,0,905,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,4,0,3,8402,1,4,2,0,905,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,5,0,4,9007,1,5,2,0,930,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,6,0,5,8598,1,6,2,0,875,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,7,0,6,8311,1,7,2,0,950,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,8,0,7,5996,2,8,2,0,920,1,15,9,INP13B1000673,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002106,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002106,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001624,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001624,0
1,0,0,0,0,0,0,0,1,0,4,1835,1,1,2,0,621,1,2,9,INP13B1001485,0
1,0,0,0,0,0,0,0,2,0,5,1523,1,2,2,0,422,2,0,9,INP13B1001485,0
1,0,0,0,0,0,0,0,3,0,6,1600,1,3,2,0,720,1,60,9,INP13B1001485,0
1,0,0,0,0,0,0,0,4,0,7,1713,2,4,2,0,600,1,60,9,INP13B1001485,0
1,0,0,0,0,0,0,0,5,0,1,2000,2,5,2,0,620,1,40,9,INP13B1001485,0
1,0,0,0,0,0,0,0,6,0,2,783,1,6,2,0,522,2,0,9,INP13B1001485,0
1,0,0,0,0,0,0,0,7,0,3,1658,1,7,2,0,780,1,30,9,INP13B1001485,0
1,0,0,0,0,0,0,0,8,0,4,1700,1,8,2,0,780,1,60,9,INP13B1001485,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001485,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002531,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000988,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000232,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1000312,0
1,0,0,0,0,0,0,0,1,0,5,7422,1,1,2,0,390,1,580,9,INP13B1001026,0
1,0,0,0,0,0,0,0,2,0,6,9245,1,2,2,0,960,2,0,9,INP13B1001026,0
1,0,0,0,0,0,0,0,3,0,7,18664,2,3,1,0,839,1,120,9,INP13B1001026,0
1,0,0,0,0,0,0,0,4,0,1,6240,2,4,2,0,240,2,0,9,INP13B1001026,0
1,0,0,0,0,0,0,0,5,0,2,8799,1,5,2,0,800,1,20,9,INP13B1001026,0
1,0,0,0,0,0,0,0,6,0,3,6285,1,6,2,0,730,1,20,9,INP13B1001026,0
1,0,0,0,0,0,0,0,7,0,4,6770,1,7,2,0,690,1,150,9,INP13B1001026,0
1,0,0,0,0,0,0,0,8,0,5,6957,1,8,2,0,700,1,140,9,INP13B1001026,0
3,0,0,0,0,0,0,0,1,0,5,11303,1,1,0,1,806,1,7,9,INP13B1001026,0
3,0,0,0,0,0,0,0,2,0,6,8704,1,2,0,2,805,1,7,9,INP13B1001026,0
3,0,0,0,0,0,0,0,3,0,7,9778,2,3,0,2,723,1,7,9,INP13B1001026,0
3,0,0,0,0,0,0,0,4,0,1,4498,2,4,0,2,850,1,15,9,INP13B1001026,0
3,0,0,0,0,0,0,0,5,0,2,6716,1,5,0,2,833,1,8,9,INP13B1001026,0
3,0,0,0,0,0,0,0,6,0,3,12201,1,6,0,1,772,1,8,9,INP13B1001026,0
3,0,0,0,0,0,0,0,7,0,4,15275,1,7,0,1,767,1,8,9,INP13B1001026,0
3,0,0,0,0,0,0,0,8,0,5,9510,1,8,0,2,748,1,8,9,INP13B1001026,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1002294,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001594,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001594,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002734,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1002119,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002344,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002344,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001002,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001796,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002443,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002443,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000613,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000613,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000556,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001686,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001686,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001805,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001887,0
4,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1001887,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001507,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002543,0
4,0,0,0,0,0,0,0,1,0,4,9822,1,1,0,2,825,1,15,9,INP13B1002705,0
4,0,0,0,0,0,0,0,2,0,5,9613,1,2,0,2,825,1,15,9,INP13B1002705,0
4,0,0,0,0,0,0,0,3,0,6,8492,1,3,0,2,705,1,75,9,INP13B1002705,0
4,0,0,0,0,0,0,0,4,0,7,6514,2,4,0,2,515,1,205,9,INP13B1002705,0
4,0,0,0,0,0,0,0,5,0,1,9883,2,5,0,2,825,1,15,9,INP13B1002705,0
4,0,0,0,0,0,0,0,6,0,2,9116,1,6,0,2,800,1,25,9,INP13B1002705,0
4,0,0,0,0,0,0,0,7,0,3,8374,1,7,0,2,730,1,200,9,INP13B1002705,0
4,0,0,0,0,0,0,0,8,0,4,7921,1,8,0,2,645,1,255,9,INP13B1002705,0
1,0,0,0,0,0,0,0,1,0,4,837,1,1,2,0,780,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,2,0,5,976,1,2,2,0,855,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,3,0,6,2649,1,3,2,0,915,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,4,0,7,573,2,4,2,0,851,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,5,0,2,1022,1,5,2,0,840,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,6,0,3,1023,1,6,2,0,855,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,7,0,4,3644,1,7,2,0,960,2,0,9,INP13B1001882,0
1,0,0,0,0,0,0,0,8,0,5,1115,1,8,2,0,885,2,0,9,INP13B1001882,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001418,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001746,0
